agent;date;id;igs_timestamp;record_id;source;time;type;value
Cognitive_Model;2026-02-05;95985230-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.595157000;3;b't-i-pitot-heat-status-correspond-to-tars-input'
Cognitive_Model;2026-02-05;95af5ca0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.746023000;3;b'pitot-heat-no-action'
Cognitive_Model;2026-02-05;95b772f0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.799950000;3;b'check-1-visually-attend-current-task-object'
Cognitive_Model;2026-02-05;95bf1410-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.849566000;3;b'check-2-visually-encode-task-object-item'
Cognitive_Model;2026-02-05;95c6b530-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.899380000;3;b'check-3-form-task-object-item-representation'
Aircraft;2026-02-05;95d84160-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:56:01.014029000;2;b'\xcd\xcc\xcc\xcc\xcc\xccY@'
Cognitive_Model;2026-02-05;95dde6b0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:01.051411000;3;b'check-2-1-visually-attend-current-task-value'
Cognitive_Model;2026-02-05;95f4f120-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:01.202045000;3;b'2-2-visually-encode-task-value-item'
Cognitive_Model;2026-02-05;95fc4420-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:01.250926000;3;b'2-3-form-task-value-item-representation'
Cognitive_Model;2026-02-05;96134e90-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:01.401852000;3;b't-i-task-was-not-autochecked-no-change'
Cognitive_Model;2026-02-05;962a31f0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:01.551616000;3;b't-i-check-task-on-tars'
Cognitive_Model;2026-02-05;9631d310-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:01.601883000;3;b'detected-sound'
Cognitive_Model;2026-02-05;9648dd80-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;task_check;03:56:01.752255000;5;
Cognitive_Model;2026-02-05;969528c0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:02.252566000;3;b'encode-sound'
Aircraft;2026-02-05;96a33280-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:56:02.344165000;2;b'fffff\xc6Y@'
Cognitive_Model;2026-02-05;96c2ef80-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:02.552849000;3;b'sound-encoded-from-atc-not-in-atc-task'
Cognitive_Model;2026-02-05;96e19b10-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:02.753323000;3;b'check-1-visually-attend-current-task-object'
Cognitive_Model;2026-02-05;96e93c30-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:02.803858000;3;b'check-2-visually-encode-task-object-item'
Cognitive_Model;2026-02-05;96f0dd50-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:02.853377000;3;b'check-3-form-task-object-item-representation'
Cognitive_Model;2026-02-05;9707c0b0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.003450000;3;b'check-2-1-visually-attend-current-task-value'
Cognitive_Model;2026-02-05;971ea410-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.153948000;3;b'2-2-visually-encode-task-value-item'
Cognitive_Model;2026-02-05;97264530-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.203985000;3;b'2-3-form-task-value-item-representation'
Cognitive_Model;2026-02-05;973d4fa0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.354478000;3;b't-i-task-was-not-autochecked-no-change'
Cognitive_Model;2026-02-05;97543300-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.504668000;3;b't-i-check-task-on-tars'
Cognitive_Model;2026-02-05;9772de90-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;task_check;03:56:03.705827000;5;
Cognitive_Model;2026-02-05;9772de91-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.705918000;3;b't-i-subvocalize-check-task-on-tars'
Cognitive_Model;2026-02-05;977a7fb0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:03.755635000;3;b'form-task-done'
Cognitive_Model;2026-02-05;97990430-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;speech_output;03:56:03.955778000;3;b'check-task-on-tars-interface'
Aircraft;2026-02-05;979de630-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:56:03.987709000;2;b'\x00\x00\x00\x00\x00\xc0Y@'
Cognitive_Model;2026-02-05;97a0a550-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:04.005705000;3;b'get-where-should-i-look-next'
Cognitive_Model;2026-02-05;97a84670-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:04.055958000;3;b'attend-to-next-aoi'
Cognitive_Model;2026-02-05;97b7afc0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:04.156137000;3;b'encode-aoi-information'
Cognitive_Model;2026-02-05;97ce9320-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:04.306439000;3;b'x-3-form-pfd-aoi-representation'
